کد_داخلی,کد_کالا,نام_کالا,فعال,موجودی,قیمت_خرید_تومان
1383,,جوراب میوه ای,بله,27,650000
1184,,وست لینن یک و دو تک رنگ 8011,بله,3,6850000
1334,,شومیز دانته,بله,0,7470000
1141,,کت لینن یک و دو تک رنگ 0211,بله,4,13600000
1338,,تیشرت آستین گلدوزی,بله,5,2980000
1265,,کراپ کرپ یقه سه سانت رنگبندی,بله,3,2580000
1183,,شلوار نخ یک و دو تک رنگ 1111,بله,2,5600000
1346,,مانتو عرب گیل,بله,2,14700000
1266,,ژیله سوزندوزی بنفش,بله,0,9900000
1169,,پیراهن لینن پنبه یک و دو چند رنگ 7511,بله,2,7900000
1071,,شومیز لینن یک و دو چند رنگ 0701,بله,0,5900000
1301,,شال چهارخونه دورو,بله,1,4900000
1330,,تونیک کوتاه,بله,5,4390000
1244,,کت مخمل سوزندوزی گل ریز,بله,0,18500000
1380,,کت لینن ترمه,بله,1,12700000
1364,,شال لینن فلورانس,بله,0,4980000
1441,,کت پشیم توئیت,بله,1,12700000
1196,,شال لیچینند رنگ,بله,0,3600000
1134,,شلوار باتیک هندی یک و دو تک رنگ 2111,بله,1,13800000
1214,,دامن کتان فری سایز چند رنگ,بله,0,8600000
1178,,کت لینن نچرال,بله,19,17800000
1329,,تونیک بلند,بله,5,4970000
1272,,کمربند چرم زنانه,بله,0,2350000
1158,,پیراهن لینن پنبه یک و دو چند رنگ 7511,بله,2,8700000
1332,,شومیز دبل فیس,بله,1,5390000
1350,,کت لینن رن ی گ,بله,0,15700000
1440,,بارونب کرم مشگ صوریب تییس قد 57,بله,1,15700000
1399,,جوراب کمرکش گلدوزی,بله,0,730000
1353,,شلوار لینن سورمه ای,بله,2,5750000
1308,,شلوار پشیم بگ,بله,1,6680000
1483,,شلوار جین فول بگ,بله,11,27900000
1425,,دامن چ نن دار پله ای,بله,3,6900000
1122,,شومیز لینن یک و دو چند رنگ 2011,بله,0,0
1478,,کت بیسیک بازاری روجا گرم بالا,بله,5,29800000
1161,,پیراهن لینن یک و دو تک رنگ 7511,بله,2,8600000
1200,,شال لیچینند رنگ,بله,0,4600000
1464,,جوراب میخ کرپ,بله,28,950000
1149,,شلوار لینن نچرال یک و دو کرم 1111,بله,0,8900000
1271,,بلوز بافت راه راه افیق ریز رنگبندی,بله,3,5850000
1326,,کراپ ورزرش,بله,0,1680000
1193,,شال لیچینند رنگ,بله,0,3800000
1393,,جوراب کالج,بله,8,570000
1287,,دورس خال خایل,بله,3,4900000
1276,,جوراب ساق بلند گیس بافت,بله,19,950000
1143,,شومیز لینن یک و دو تک رنگ 6011,بله,3,8700000
1469,,جوراب کالج گیپور,بله,6,780000
1339,,تیشرت بابونه,بله,6,2380000
1435,,شلوار راسته بازاری,بله,3,11900000
1174,,کراپ کت لینن نچرال سایز یک و دو چند رنگ,بله,0,6900000
1456,,شومیز باراکا,بله,0,9800000
1216,,دامن پییل کتان,بله,0,8700000
1142,,مانتو لینن یک و دو مشگ 0111,بله,9,14900000
1384,,جوراب ورزرش آلو,بله,1,750000
1082,,کت ژاکارد یک و دو تک رنگ 3401,بله,2,15750000
1449,,شلوارک جین,بله,2,6950000
1414,,کراپ تاپ بندی راه راه,بله,0,1980000
1374,,شومیز باتیک چرخکاری,بله,1,13600000
1486,,تیشرت واردایب,بله,4,8700000
1323,,بلوز میله ای,بله,0,0
1375,,شومیز لینن کننق راه راه,بله,2,6900000
1365,,شال لینن گیل,بله,1,4790000
1290,,هودی زیپ دار ساده,بله,0,6900000
1413,,کراپ تاپ حلقه ای راه راه,بله,3,1980000
1376,,شومیز لینن ترکیرت باتیک,بله,0,6790000
1335,,شلوارک,بله,5,2980000
1351,,شومیز اسلب,بله,10,15900000
1262,,بافت ریز یقه اسگ,بله,9,4950000
1151,,شلوار کرپ بازاری گرم بالا یک و دو تک رنگ 0511,بله,0,7700000
1201,,شال لیچینند رنگ,بله,0,4780000
1275,,جوراب ساق بلند کرپ,بله,8,580000
1213,,کاپشن کتان,بله,0,9850000
1251,,شومیز لینن راه راه عرب,بله,0,4750000
1362,,شال لینن کوک دوزی,بله,6,3470000
1160,,پیراهن لینن نچرال یک و دو تک رنگ 7511,بله,4,12500000
1345,,کت مشگ طرح پیچازی,بله,1,19800000
1168,,شومیز پلیسه یک و دو چند رنگ 7601,بله,0,7800000
1221,,کت جین,بله,2,6850000
1230,,دورس بلند سفید,بله,2,3400000
1333,,شومیز نخ واردایب,بله,0,6970000
