کد_داخلی,کد_کالا,نام_کالا,فعال,موجودی,قیمت_واحد,ارزش_کل
1383,,جوراب میوه ای,TRUE,27,650000,17550000
1184,,وست لیننن یک و دو تک رنگ 8011,TRUE,3,6850000,20550000
1334,,شوم نی دانته,TRUE,-1,7470000,-7470000
1141,,کت لیننن یک و دو تک رنگ 0211,TRUE,4,13600000,54400000
1338,,تیرشت آست نن گلدوزی,TRUE,5,2980000,14900000
1265,,کراپ کریییت یقه سه سانت رنگبندی,TRUE,3,2580000,7740000
1183,,شلوار ننخ یک و دو تک رنگ 1111,TRUE,2,5600000,11200000
1346,,مانتو آرب گیل,TRUE,2,14700000,29400000
1266,,ژیله سوزندوزی بنفش,TRUE,-1,9900000,-9900000
1169,,پ یاهن لیننن پنبه یک و دو چند رنگ 7511,TRUE,2,7900000,15800000
1071,,شوم نی لیننن یک و دو چند رنگ 0701,TRUE,-2,5900000,-11800000
1301,,شال چهارخونه دورو,TRUE,1,4900000,4900000
1330,,تونیک کوتاه,TRUE,5,4390000,21950000
1244,,کت مخمل سوزندوزی گل ریز,TRUE,-2,18500000,-37000000
1380,,کت لیننن ترمه,TRUE,1,12700000,12700000
1364,,شال لیننن فلورانس,TRUE,0,4980000,0
1441,,کت پشیم توئیت,TRUE,1,12700000,12700000
1196,,شال لیننن چند رنگ,TRUE,-1,3600000,-3600000
1134,,شلوار باتیک هندی یک و دو تک رنگ 2111,TRUE,1,13800000,13800000
1214,,دامن کتان فری سایز چند رنگ,TRUE,-2,8600000,-17200000
1178,,کت لیننن نچرال,TRUE,19,17800000,338200000
1329,,تونیک بلند,TRUE,5,4970000,24850000
1272,,کمربند چرم زنانه,TRUE,-3,2350000,-7050000
1158,,پ یاهن لیننن پنبه یک و دو چند رنگ 7511,TRUE,2,8700000,17400000
1332,,شوم نی دبل فیس,TRUE,1,5390000,5390000
1350,,کت لیننن رن ی گ,TRUE,0,15700000,0
1440,,بارونب کرم مشگ صوریب تییس قد 57,TRUE,1,15700000,15700000
1399,,جوراب کمرکش گلدوزی,TRUE,-1,730000,-730000
1353,,شلوار لیننن سورمه ای,TRUE,2,5750000,11500000
1308,,شلوار پشیم بگ,TRUE,1,6680000,6680000
1483,,شلوار ج نن فول بگ,TRUE,11,27900000,306900000
1425,,دامن چ نن دار پله ای,TRUE,3,6900000,20700000
1122,,شوم نی لیننن یک و دو چند رنگ 2011,TRUE,-3,,
1478,,کت بیسیک مازرایب روجا گرم باال,TRUE,5,29800000,149000000
1161,,پ یاهن لیننن یک و دو تک رنگ 7511,TRUE,2,8600000,17200000
1200,,شال لیننن چند رنگ,TRUE,-5,4600000,-23000000
1464,,جوراب میخ کریییت,TRUE,28,950000,26600000
1149,,شلوار لیننن نچرال یک و دو کرم 1111,TRUE,0,8900000,0
1271,,بلوز بافت راه راه افیق ریز رنگبندی,TRUE,3,5850000,17550000
1326,,کراپ ورزرش,TRUE,0,1680000,0
1193,,شال لیننن چند رنگ,TRUE,-7,3800000,-26600000
1393,,جوراب کالج,TRUE,8,570000,4560000
1287,,دورس خال خایل,TRUE,3,4900000,14700000
1276,,جوراب ساق بلند گیس بافت,TRUE,19,950000,18050000
1143,,شوم نی لیننن یک و دو تک رنگ 6011,TRUE,3,8700000,26100000
1469,,جوراب کالج گیپور,TRUE,6,780000,4680000
1339,,تیرشت بابونه,TRUE,6,2380000,14280000
1435,,شلوار راسته مازرایب,TRUE,3,11900000,35700000
1174,,کراپ کت لیننن نچرال سایز یک و دو چند رنگ,TRUE,0,6900000,0
1456,,شوم نی باراکا,TRUE,-1,9800000,-9800000
1216,,دامن پییل کتان,TRUE,-1,8700000,-8700000
1142,,مانتو لیننن یک و دو مشگ 0111,TRUE,9,14900000,134100000
1384,,جوراب ورزرش آلو,TRUE,1,750000,750000
1082,,کت ژاکارد یک و دو تک رنگ 3401,TRUE,2,15750000,31500000
1449,,شلوارک ج نن,TRUE,2,6950000,13900000
1414,,کراپ تاپ بندی راه راه,TRUE,-1,1980000,-1980000
1374,,شوم نی باتیک چرخکاری,TRUE,1,13600000,13600000
1486,,تیرشت واردایب,TRUE,4,8700000,34800000
1323,,بلوز میله ای,TRUE,-1,,
1375,,شوم نی لیننن کننق راه راه,TRUE,2,6900000,13800000
1365,,شال لیننن گیل,TRUE,1,4790000,4790000
1290,,هودی زیپ دار ساده,TRUE,0,6900000,0
1413,,کراپ تاپ حلقه ای راه راه,TRUE,3,1980000,5940000
1376,,شوم نی لیننن ترکیرت باتیک,TRUE,-1,6790000,-6790000
1335,,شلوارک,TRUE,5,2980000,14900000
1351,,شوم نی اسلب,TRUE,10,15900000,159000000
1262,,بافت ریز یقه اسگ,TRUE,9,4950000,44550000
1151,,شلوار کرپ مازرایب گرم باال یک و دو تک رنگ 0511,TRUE,0,7700000,0
1201,,شال لیننن چند رنگ,TRUE,-5,4780000,-23900000
1275,,جوراب ساق بلند کریییت,TRUE,8,580000,4640000
1213,,کاپشن کتان,TRUE,-1,9850000,-9850000
1251,,شوم نی لیننن راه راه آرب,TRUE,-1,4750000,-4750000
1362,,شال لیننن کوک دوزی,TRUE,6,3470000,20820000
1160,,پ یاهن لیننن نچرال یک و دو تک رنگ 7511,TRUE,4,12500000,50000000
1345,,کت مشگ طرح پیچازی,TRUE,1,19800000,19800000
1168,,شوم نی پلیسه یک و دو چند رنگ 7601,TRUE,0,7800000,0
1221,,کت ج نن,TRUE,2,6850000,13700000
1230,,دورس بلند سفید,TRUE,2,3400000,6800000
1333,,شوم نی نخ واردایب,TRUE,-6,6970000,-41820000
1148,,شلوار لیننن لوک یک و دو تک رنگ 1111,TRUE,1,6900000,6900000
1455,,شوم نی پری شیشه ای,TRUE,2,12900000,25800000
1281,,بافت اورال طرح دار بلند رنگبندی,TRUE,1,8700000,8700000
1472,,جوراب میخ مردانه,TRUE,10,1350000,13500000
1406,,شوم نی اسلپ,TRUE,12,11700000,140400000
1236,,بلوز بافت راه راه پنج رنگ,TRUE,2,6900000,13800000
1192,,شال لیننن چند رنگ,TRUE,-2,3800000,-7600000
1289,,بافت گلدوزی مشگ و کرم,TRUE,2,8950000,17900000
1367,,شوم نی کتان رنگبندی فری سایز,TRUE,12,7800000,93600000
1194,,شال لیننن چند رنگ,TRUE,-4,2950000,-11800000
1152,,شلوار کرپ فیونا یک و دو مشگ 2401,TRUE,1,7900000,7900000
1162,,پ یاهن کتان کریستال یک و دو تک رنگ 0501,TRUE,2,15800000,31600000
1298,,کمربند یک و نیم سانت دامن و شلوار,TRUE,7,2350000,16450000
1424,,دامن پییل لیننن نچرال,TRUE,5,8900000,44500000
1355,,شلوار لیننن آرب آسمانب و رسخارب,TRUE,2,5450000,10900000
1395,,جوراب شیشه ای بنفش,TRUE,7,690000,4830000
1404,,شوم نی لیننن پنبه,TRUE,-2,5900000,-11800000
1466,,جوراب زنانه میخ طرح دار,TRUE,61,980000,59780000
1278,,شال موهر چارخونه,TRUE,0,4900000,0
1264,,ژیله بافت ساده رنگبندی,TRUE,2,4850000,9700000
1090,,شوم نی وال,TRUE,2,8500000,17000000
1304,,شال موهر تک رنگ رنگبندی ظریف,TRUE,3,4750000,14250000
1205,,کیف چند رنگ,TRUE,-4,4900000,-19600000
1079,,وست ندارد یک و دو تک رنگ 8301,TRUE,2,7600000,15200000
1400,,شوم نی ننخ راه نقره ای,TRUE,4,8700000,34800000
1132,,مانتو یک و دو چند رنگ 0111,TRUE,5,146500000,732500000
1318,,گپ واردایب ساده,TRUE,0,4350000,0
1181,,شوم نی لیننن یک و دو تک رنگ 3111,TRUE,2,7600000,15200000
1481,,کاله بیسبایل گیپور,TRUE,8,3900000,31200000
1254,,سارافون پشیم پیچازی,TRUE,0,4950000,0
1433,,بامری جکت کتان ظریف,TRUE,4,8900000,35600000
1156,,شلوار لیننن شانتون یک و دو چند رنگ 1111,TRUE,0,4900000,0
1260,,بارونب بلند تییس آسییدار کرم و مشگ,TRUE,1,15900000,15900000
1291,,دورس نیم زیپ طرح دار,TRUE,1,8700000,8700000
1372,,شال مشگ برشکا دور گیپور,TRUE,1,3850000,3850000
1277,,لگ کریییت ساده,TRUE,4,3500000,14000000
1447,,کت فوتر طوش,TRUE,1,19700000,19700000
1349,,کت سرنی گل برجسته,TRUE,0,19790000,0
1189,,کت سوزندوزی یک و دو مشگ 0111,TRUE,0,13500000,0
1127,,شوم نی ندارد یک و دو چند رنگ 6011,TRUE,2,6700000,13400000
1255,,مانتو پشیم پیچازی,TRUE,0,6950000,0
1320,,گپ مرواریدی,TRUE,2,7650000,15300000
1198,,شال لیننن چند رنگ,TRUE,-4,3900000,-15600000
1387,,وست سوزندوزی,TRUE,-1,12700000,-12700000
1217,,دامن کریییت چند رنگ,TRUE,0,8700000,0
1299,,کمربند سه سانت شلوار,TRUE,17,2350000,39950000
1373,,شال مشگ شاین لبه فر,TRUE,4,4350000,17400000
1459,,کراپ تاپ خشیت بلند کریییت,TRUE,9,4800000,43200000
1378,,ست شوم نی و شلوار باتیک,TRUE,1,13900000,13900000
1379,,کت گل رسخ,TRUE,2,14900000,29800000
1321,,گپ چپ و راست,TRUE,2,7900000,15800000
1233,,بارونب سانتانا کاله دار پنج رنگ,TRUE,-1,22700000,-22700000
1249,,دورس کریییت کرم و مشگ,TRUE,1,5800000,5800000
1484,,شوم نی واردایب مجلیس,TRUE,6,11900000,71400000
1076,,مانتو ژاکارد یک و دو چند رنگ 3301,TRUE,2,13900000,27800000
1397,,جوراب نایک صوریب,TRUE,5,670000,3350000
1309,,پالتو فوتر چری,TRUE,3,11700000,35100000
1187,,وست باتیک هندی یک و دو چند رنگ 8011,TRUE,3,6500000,19500000
1307,,جوراب تک رنگ,TRUE,22,670000,14740000
1223,,وست ج نن,TRUE,1,6700000,6700000
1253,,دامن پشیم پییل,TRUE,-1,7900000,-7900000
1203,,کیف چند رنگ,TRUE,-4,2900000,-11600000
1429,,شوم نی ننخ طرح دار,TRUE,2,6450000,12900000
1453,,شوم نی پاپیونب,TRUE,0,8700000,0
1336,,شلوار بهاره,TRUE,1,4870000,4870000
1358,,شلوار زبرا,TRUE,1,6750000,6750000
1231,,دورس کوتاه سفید,TRUE,2,2900000,5800000
1324,,شلوار ج نن شافل بگ,TRUE,4,19500000,78000000
1405,,شوم نی ننخ بابوس,TRUE,1,6850000,6850000
1167,,شلوار پلیسه یک و دو چند رنگ 1111,TRUE,-5,7650000,-38250000
1421,,شوم نی لیننن پنبه,TRUE,5,7650000,38250000
1163,,شلوار کرپ ال نیه یک و دو تک رنگ 1111,TRUE,2,7900000,15800000
1418,,تیرشت باکیس ساده,TRUE,2,3870000,7740000
1438,,جوراب پای نیه ساق بلند گل برجسته,TRUE,14,950000,13300000
1270,,شلوار بافت ریز رنگبندی,TRUE,1,3950000,3950000
1480,,کراپ تاپ ساده بیسیک کوتاه,TRUE,4,4700000,18800000
1226,,شلوار بوت کات آرب ت یه,TRUE,2,6900000,13800000
1274,,کاله بافت ریز لئونب,TRUE,2,2700000,5400000
1354,,شلوار لیننن کرم و سفید,TRUE,0,5600000,0
1432,,بافت راه راه ریز,TRUE,-2,5600000,-11200000
1210,,کیف چند رنگ,TRUE,-4,5600000,-22400000
1310,,کراپ کت پیچازی,TRUE,1,6980000,6980000
1368,,شوم نی کتان رنگبندی سایزبندی,TRUE,9,6900000,62100000
1208,,کیف چند رنگ,TRUE,-2,5750000,-11500000
1352,,شلوار کرپ مازرایب,TRUE,0,6900000,0
1454,,تیرشت باکیس,TRUE,3,5700000,17100000
1155,,شوم نی و شلوار دبل کریشه,TRUE,1,15900000,15900000
1224,,شلوار مام فیت آرب روشن,TRUE,2,8700000,17400000
1312,,بلوز و شلوار میله ای گرم باال رنگبندی,TRUE,3,18900000,56700000
1220,,کراپ کت ج نن,TRUE,-1,6570000,-6570000
1427,,مینت اسکارف,TRUE,6,2470000,14820000
1485,,شوم نی واردایب,TRUE,6,11900000,71400000
1284,,بافت طرح زنج یی واردایب فری سایز رنگبندی,TRUE,0,9800000,0
1458,,کراپ تاپ ساده بلند,TRUE,12,4800000,57600000
1240,,پافر سه رنگ فری سایز,TRUE,6,7900000,47400000
1100,,شوم نی دبل کریشه یک و دو چند رنگ 7601,TRUE,1,5000000,5000000
1357,,شلوار ج نن کاغذی,FALSE,0,4980000,0
1412,,شوم نی پری,TRUE,-14,15900000,-222600000
1146,,شلوار لیننن پنبه یک و دو تک رنگ 1111,TRUE,0,7650000,0
1344,,"کت ژاکارد زبرا مشگ, آرب روشن و هلویب",TRUE,1,19670000,19670000
1001,,شوم نی لیننن 1 کرم,TRUE,-2,5800000,-11600000
1448,,بارونب کتان زارا قد 57,TRUE,3,16800000,50400000
1363,,شال لیننن دور زیپ,TRUE,3,5470000,16410000
1408,,کش دونایب,TRUE,22,450000,9900000
1322,,ست دورس و شلوار دو نخ,TRUE,2,8900000,17800000
1482,,کاله واردایب,TRUE,65,3900000,253500000
1422,,شلوار لیننن پنبه,TRUE,6,6950000,41700000
1241,,شلوار واید لبه ریش مشگ,TRUE,1,6850000,6850000
1463,,جوراب پارزین,TRUE,23,380000,8740000
1366,,شال پلیسه پولیک,TRUE,2,5370000,10740000
1003,,کیف کننق ندارد کرم,TRUE,-1,6850000,-6850000
1428,,کمربند کننق,TRUE,3,2350000,7050000
1314,,شلوار ج نن واید,TRUE,5,14900000,74500000
1129,,شوم نی موسل نن یک و دو تک رنگ 0701,TRUE,3,7650000,22950000
1088,,پ یاهن ننخ یک و دو تک رنگ 0501,TRUE,3,12800000,38400000
1337,,تیرشت آست نن افتاده گلدوزی,TRUE,1,2670000,2670000
1296,,کاله کش بافت درشت رنگبندی,TRUE,6,2900000,17400000
1436,,ی کراپ حلقه ای پلنگ,TRUE,5,3900000,19500000
1202,,کیف چند رنگ,TRUE,-3,4500000,-13500000
1261,,بافت یقه اسگ درشت چند رنگ,TRUE,-2,5700000,-11400000
1138,,کت لیننن یک و دو تک رنگ 6111,TRUE,5,12500000,62500000
1343,,کت گیل,TRUE,0,9650000,0
1204,,کیف چند رنگ,TRUE,-1,3500000,-3500000
1396,,جوراب سوزنب خاررج,TRUE,9,930000,8370000
1252,,دامن پشیم ساده کشم ی,TRUE,1,7900000,7900000
1431,,پ یاهن لیننن رسخارب,TRUE,2,7900000,15800000
1269,,دامن میکرو,TRUE,0,4900000,0
1218,,شلوار کتان پنج رنگ,TRUE,0,6850000,0
1325,,کراپ نوار کتان,TRUE,0,1980000,0
1024,,الگو بارونب ندارد یک و دو تک رنگ,TRUE,-1,,
1475,,شلوار واید کتان لیننن,TRUE,6,9900000,59400000
1185,,شلوار ج نن یک و دو تک رنگ 1111,FALSE,1,6950000,6950000
1280,,بافت درشت بافت یقه پنج سانت چند رنگ,TRUE,4,5700000,22800000
1235,,دامن بافت پنج رنگ فری سایز,TRUE,5,4900000,24500000
1361,,شال لیننن راه راه,TRUE,2,2980000,5960000
1147,,شلوار لیننن نچرال یک و دو تک رنگ 1111,TRUE,0,6750000,0
1392,,جوراب میخ کریییت,TRUE,-12,670000,-8040000
1313,,شلوار ج نن نیم بگ,TRUE,22,16900000,371800000
1206,,کیف چند رنگ,TRUE,-5,4900000,-24500000
1369,,شال کتان دور ریش,TRUE,5,4700000,23500000
1268,,ست کت و دامن میکرو,TRUE,2,6900000,13800000
